grant_title,id,organization,total_amount,group,Grant start date,start_month,start_day,start_year
Unallocated,1,Office Supplies,750.25,low,2/4/2010,2,4,2010
Unallocated,2,Travel,612.26,low,8/3/2009,8,3,2009
Unallocated,3,Marketing,2754.55,low,11/12/2009,11,12,2009
Unallocated,4,Meetings,976.21,low,3/11/2010,3,11,2010
Unallocated,5,Student Court,500,low,10/12/2009,10,12,2009
Unallocated,6,Programming,7390.73,low,6/30/2009,6,30,2009
Unallocated,7,Technology,4817.7,low,9/24/2009,9,24,2009
Unallocated,8,Co-Sponsorship,2118.5,low,10/29/2009,10,29,2009
Unallocated,9,Athletics,1063,low,11/16/2009,11,16,2009
Unallocated,10,Education,1000,low,10/28/2009,10,28,2009
Unallocated,11,Government,3312.5,low,11/2/2009,11,2,2009
Unallocated,12,Uptown,2000,low,11/2/2009,11,2,2009
Unallocated,13,Sustainability,500,low,11/2/2009,11,2,2009
Unallocated,14,OSGA,500,low,11/2/2009,11,2,2009
Unallocated,15,Career Development,500,low,10/28/2009,10,28,2009
Unallocated,16,Retreats,3264.61,low,11/10/2009,11,10,2009
Unallocated,17,Elections,1500,low,11/13/2009,11,13,2009
Unallocated,18,Inauguration,2000,low,11/1/2009,11,1,2009
Unallocated,19,Conferences,1000,low,3/24/2010,3,24,2010
Unallocated,20,FYLP,1000,low,10/29/2009,10,29,2009
New Internal Holdover Box (mobile),21,Office Supplies,86.99,low,11/4/2009,11,4,2009
"Office Supplies, Guy Brown",22,Office Supplies,44.87,low,10/1/2008,10,1,2008
Computer software and speakers,23,Office Supplies,50.81,low,10/30/2009,10,30,2009
Labels for label maker,24,Office Supplies,67.08,low,1/28/2010,1,28,2010
Idries trip to Washington DC; student loan interest rate increase,25,Travel,142.29,low,11/17/2009,11,17,2009
SG and PAC DUI Simulator marketing,26,Marketing,48.4,low,5/13/2009,5,13,2009
Tri-fold information board for Welcome Weekend Activity Fair,27,Marketing,23.05,low,3/1/2008,3,1,2008
